Name,Registration No.,Validity,E-mail,Contact Person,Address,Correspondence Address,Telephone,Fax No.,State,City
IKP VENTURE TRUST - I,IN/AIF1/18-19/0632,"Jan 29, 2019 - Perpetual",ACCOUNTS@IKPIMC.IN,KEERTHY S,"IKP, Genome Valley, Turkapally, Shamirpet, HYDERABAD, TELANGANA, 500101","IKP Trust, 10th Floor, Phase I IIT Madras Research Park, Kanagam Village Road, Taramani, CHENNAI, TAMIL NADU, 600113",,,TELANGANA,HYDERABAD
IL&FS INFRASTRUCTURE INVESTMENT TRUST,IN/AIF1/15-16/0176,"Oct 13, 2015 - Perpetual",,,"IL&FS Financial Centre, Plot c-22, G-Block, Bandra Kurla Complex , Bandra east, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
IL&FS INFRASTRUCTURE INVESTMENT TRUST-II,IN/AIF1/15-16/0178,"Oct 23, 2015 - Perpetual",,,,,,,,
iLabs Investment Trust,IN/AIF2/18-19/0606,"Oct 19, 2018 - Perpetual",trustee@ilabsgroup.com,Jyothi Chintalapati,"iLabs Centre, Building-3, Plot No.18, Software Units Layout, Madhapur,, HYDERABAD, TELANGANA, 500081","iLabs Centre, Building-3, Plot No.18, Software Units Layout, Madhapur, HYDERABAD, TELANGANA, 500081",,,TELANGANA,HYDERABAD
IMAP India Capital Investment Trust,IN/AIF2/23-24/1364,"Oct 06, 2023 - Perpetual",paresh@catalystfin.com,Paresh Raja,"6th Floor Tower 2 South Annex One World Centre Senapati Bapat Marg Lower Parel Mumbai 400 013, MUMBAI, MAHARASHTRA, 400013","6th Floor Tower 2 South Annex One World Centre Senapati Bapat Marg Lower Parel Mumbai 400 013, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
IMPRINTS VC FUND,IN/AIF1/16-17/0233,"Jun 10, 2017 - Perpetual",,,,,,,,
IMVESTA ALTERNATIVE FUNDS,IN/AIF1/23-24/1479,"Mar 27, 2024 - Perpetual",imvestaaif@gmail.com,Nikhil Bansal,"516, Arunachal Building,19, Barakhamba Road,Connaught Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","516, Arunachal Building,19, Barakhamba Road,Connaught Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
Incofin India Progress Fund,IN/AIF2/19-20/0725,"Aug 20, 2019 - Perpetual",sanjay.kumar@incofin.com,SANJAY KUMAR,"THE CAPITAL, 3053, Z Block, 4th STREET,, 13th MAIN ROAD, ANNA NAGAR,, CHENNAI, TAMIL NADU, 600040","THE CAPITAL, 3053, Z Block, 4th STREET, 13th MAIN ROAD, ANNA NAGAR, CHENNAI, TAMIL NADU, 600040",,,TAMIL NADU,CHENNAI
Incofin India Progress Fund - II,IN/AIF2/24-25/1728,"Feb 20, 2025 - Perpetual",piyush.bafna@incofin.com,Piyush Bafna,"The Capital, 3053, Z Block, 4th Street,, 13th Main Road, Anna Nagar, CHENNAI, TAMIL NADU, 600040","The Capital, 3053, Z Block, 4th Street, 13th Main Road, Anna Nagar, CHENNAI, TAMIL NADU, 600040",,,TAMIL NADU,CHENNAI
Incred Alternative Investments Trust,IN/AIF3/22-23/1253,"Mar 27, 2023 - Perpetual",gaurav.ahuja@incred.com,Gaurav Ahuja,"Unit no 1203 12th Floor The Capital , Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","Unit no 1203 12th Floor The Capital , Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
Incred Alternative Opportunities Trust,IN/AIF2/22-23/1111,"Aug 01, 2022 - Perpetual",gaurav.ahuja@incred.com,Gaurav Ahuja,"Unit no 1203 12th Floor The Capital , Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","Unit no 1203 12th Floor The Capital , Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
InCred Equity Opportunities Trust,IN/AIF3/23-24/1414,"Dec 18, 2023 - Perpetual",aif.compliance@incred.com,Dhawal Mehta,"Unit no 1203 12th Floor The Capital , Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","Unit no 1203 12th Floor The Capital , Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
INCRED VENTURES INDIA ANGEL FUND,IN/AIF1/23-24/1261,"Apr 19, 2023 - Perpetual",aif.compliance@incred.com,Gaurav Ahuja,"1203,12th Floor, B Wing, The Capital, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","1203,12th Floor, B Wing, The Capital, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
INCUBE CONNECT FUND,IN/AIF1/12-13/0025,"Jan 23, 2013 - Perpetual",,,,,,,,
INDGROWTH CAPITAL FUND I,IN/AIF3/17-18/0315,"Apr 10, 2017 - Perpetual",,,"C 302,Lakshchandi Heights, Gokuldham, , Goregaon East, MUMBAI, MAHARASHTRA, 400063",,,,MAHARASHTRA,MUMBAI
INDGROWTH CAPITAL TRUST,IN/AIF3/24-25/1670,"Dec 18, 2024 - Perpetual",RAJESH.SINGHAL@INDGROWTH.COM,Rajesh Singhal,"C302, Lakshchandi Heights Gokuldham, Goregaon East, MUMBAI, MAHARASHTRA, 400063","C302, Lakshchandi Heights Gokuldham, Goregaon East, MUMBAI, MAHARASHTRA, 400063",,,MAHARASHTRA,MUMBAI
India - Ahead Private Equity Trust,IN/AIF2/21-22/0980,"Jan 27, 2022 - Perpetual",,,"Abakkus Corporate Centre, 6th Floor, Param House, Shanti Nagar Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","Abakkus Corporate Centre, 6th Floor, Param House, Shanti Nagar Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055",,,MAHARASHTRA,MUMBAI
India - Ahead Venture Trust,IN/AIF1/21-22/0976,"Jan 25, 2022 - Perpetual",,,"Abakkus Corporate Centre, 6th Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","Abakkus Corporate Centre, 6th Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055",,,MAHARASHTRA,MUMBAI
INDIA ADVANTAGE FUND S3 I,IN/AIF1/25-26/1893,"Sep 03, 2025 - Perpetual",ivenlegal@iciciventure.com,Pooja Basu,"ICICI Venture House, Ground Floor, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","ICICI Venture House, Ground Floor, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",2266175386.0,2266175386.0,MAHARASHTRA,MUMBAI
INDIA ADVANTAGE FUND S4 I,IN/AIF2/15-16/0170,"Aug 20, 2015 - Perpetual",,,"C by O ICICI Venture Funds Management Company Limited, Ground Floor, ICICI Venture House,, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,,MAHARASHTRA,MUMBAI
India Advantage Fund S5 I,IN/AIF2/21-22/0939,"Oct 20, 2021 - Perpetual",ivenlegal@iciciventure.com,Shweta Agrawal,"ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
India Advantage Fund S5 II,IN/AIF2/21-22/0998,"Feb 24, 2022 - Perpetual",ivenlegal@iciciventure.com,Pooja Basu,"ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,MAHARASHTRA,MUMBAI
INDIA AGRICULTURE TRUST,IN/AIF1/12-13/0024,"Jan 21, 2013 - Perpetual",,,,,,,,
INDIA ALTERNATIVE ENERGY TRUST,IN/AIF1/13-14/0082,"Oct 29, 2013 - Perpetual",,,"Suite 1806, Hotel Four Seasons, 114, Dr. E Moses Road, Worli, MUMBAI, MAHARASHTRA, 400018",,,,MAHARASHTRA,MUMBAI
India Alternatives Private Equity Trust,IN/AIF2/16-17/0256,"Aug 30, 2016 - Perpetual",,,"3rd Floor, Pinnacle House,, Corner of P D Hinduja Road & 15th Road, Bandra West, MUMBAI, MAHARASHTRA, 400050",,,,MAHARASHTRA,MUMBAI
INDIA ALTERNATIVES PRIVATE EQUITY TRUST III,IN/AIF2/24-25/1658,"Dec 06, 2024 - Perpetual",rinette.amanna@india-alt.com,RINETTE AMANNA,"3rd floor Pinnacle House corner of 15th Road and P D Hinduja Road, Bandra West Mumbai, MUMBAI, MAHARASHTRA, 400050","3rd floor Pinnacle House corner of 15th Road and P D Hinduja Road, Bandra West Mumbai, MUMBAI, MAHARASHTRA, 400050",,,MAHARASHTRA,MUMBAI
INDIA ASSET GROWTH FUND,IN/AIF2/12-13/0037,"Mar 11, 2013 - Perpetual",,,"Tower 3, 11th Floor, India Bulls Finance Centre, Senapati Bapat Marg, Elphinstone Road, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
India Asset Growth Fund II,IN/AIF2/15-16/0212,"Mar 01, 2016 - Perpetual",,,"A Wing, 18th Floor, Marathon Future X, N.M. Joshi Marg, Lower Parel East, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
India Credit Excellence Trust - I,IN/AIF2/25-26/1997,"Dec 22, 2025 - Perpetual",Bhavesh.Pandya@motilaloswal.com,Bhavesh Pandya,"12th Floor, Motilal Oswal Tower, Rahimtullah Sayani Road, Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","12th Floor, Motilal Oswal Tower, Rahimtullah Sayani Road, Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,MAHARASHTRA,MUMBAI
India Credit Opportunities Trust,IN/AIF2/22-23/1220,"Mar 01, 2023 - Perpetual",rutu.dave@centrum.co.in,Rutu Dave,"Centrum House 5445 A C.S.T. Road Vidyanagari Marg Kalina Santacruz East, MUMBAI, MAHARASHTRA, 400098","Centrum House 5445 A C.S.T. Road Vidyanagari Marg Kalina Santacruz East, MUMBAI, MAHARASHTRA, 400098",,,MAHARASHTRA,MUMBAI
India Credit Opportunities Trust III,IN/AIF2/25-26/1973,"Dec 08, 2025 - Perpetual",indranil.das@modulusalternatives.co.in,Indranil Das,"Centrum House, 5445 A CST Road, Vidyanagari Marg, Kalina, Santacruz East, MUMBAI, MAHARASHTRA, 400098","Centrum House, 5445 A CST Road, Vidyanagari Marg, Kalina, Santacruz East, MUMBAI, MAHARASHTRA, 400098",,,MAHARASHTRA,MUMBAI
India Customer Insight Fund,IN/AIF2/16-17/0308,"Mar 24, 2017 - Perpetual",,,,,,,,
India Discovery Fund,IN/AIF1/20-21/0848,"Jan 05, 2021 - Perpetual",ashwani.singh@35northventures.com,Ashwani Singh,"Level 7 B Wing The Capital Plot C 70 G Block, Bandra Kurla Complex BKC Bandra East Mumbai 400051, MUMBAI, MAHARASHTRA, 400051","Level 7 B Wing The Capital Plot C 70 G Block, Bandra Kurla Complex BKC Bandra East Mumbai 400051, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
INDIA DISCOVERY FUND - II,IN/AIF1/24-25/1510,"May 03, 2024 - Perpetual",ASHWANI.SINGH@35NORTHVENTURES.COM,ASHWANI SINGH,"Level 7, B Wing, The Capital, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051","Level 7, B Wing, The Capital, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
India Electronic Development Fund,IN/AIF1/16-17/0305,"Mar 08, 2017 - Perpetual",sbhanuchandran@hotmail.com,bhanuchandran srinivasan,"NO. 42, C BLOCK, ANANDANAGARA, MYSORE, KARNATAKA, 570022",,,,KARNATAKA,
India Food Fund Investment Trust,IN/AIF2/25-26/1779,"Apr 07, 2025 - Perpetual",yohaan@indiafoodfund.com,Yohaan Dattoobhai,"2A Rashid Mansion Dr Annie Besant Road, MUMBAI, MAHARASHTRA, 400018","2A Rashid Mansion Dr Annie Besant Road, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
INDIA FOUNDERS TRUST,IN/AIF2/22-23/1031,"Apr 01, 2022 - Perpetual",nitish@nazara.com,NITISH MITTERSAIN,"601, 6th Floor, Plot No. 206, Dalamal House, Jamnalal Balaji Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021","601, 6th Floor, Plot No. 206, Dalamal House, Jamnalal Balaji Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021",,,MAHARASHTRA,MUMBAI
INDIA HOSPITALITY RESITEL FUND,IN/AIF2/19-20/0735,"Oct 24, 2019 - Perpetual",V.JATIA@BLUETRIANGLECAPITAL.COM,VAIBHAV JATIA,"3, Krishna Mahal, Gr. Floor, 63, Marine Drive, D Road, MUMBAI, MAHARASHTRA, 400020","3, Krishna Mahal, Gr. Floor, 63, Marine Drive, D Road, MUMBAI, MAHARASHTRA, 400020",,,MAHARASHTRA,MUMBAI
INDIA HOUSING FOR ALL,IN/AIF2/20-21/0790,"Apr 24, 2020 - Perpetual",ganesh_shankar@indiahousingforall.com,GANESH SHANKAR,"C-20 G Block WeWork, Bandra-Kurla Complex Bandra (East), MUMBAI, MAHARASHTRA, 400051","C-20 G Block WeWork, Bandra-Kurla Complex Bandra (East), MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
INDIA INFRASTRUCTURE FUND II,IN/AIF1/13-14/0084,"Oct 29, 2013 - Perpetual",,,"C 32, G BLOCK, NAMAN CHAMBERS, BANDRA KURLA COMPLEX, BANDRA EAST, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
India Investment Opportunities Fund,IN/AIF2/18-19/0560,"Jul 03, 2018 - Perpetual",vipul.jain@brookfield.com,Vipul Jain,"Godrej BKC, 4th Floor, Unit 1,, Bandra Kurla Complex, Bandra East, Mumbai 400051, MUMBAI, MAHARASHTRA, 400051","Godrej BKC, 4th Floor, Unit 1, Bandra Kurla Complex, Bandra East, Mumbai 400051, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
India Japan Fund,IN/AIF2/23-24/1324,"Aug 08, 2023 - Perpetual",jitender.tanikella@niifindia.in,Jitender Tanikella,"C/o National Investment and Infrastructure Fund Limited, UTI Tower, GN Block,, 4th Floor, Bandra Kurla Complex,, MUMBAI, MAHARASHTRA, 400051","C/o National Investment and Infrastructure Fund Limited, UTI Tower, GN Block, 4th Floor, Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
INDIA LIFE SCIENCES FUND IV DOMESTIC,IN/AIF2/23-24/1403,"Dec 08, 2023 - Perpetual",nithya.govind@invascent.com,Nithya Govind,"Plot No 1174-A, Road No 36, Jubilee Hills, Hyderabad, HYDERABAD, TELANGANA, 500033","Plot No 1174-A, Road No 36, Jubilee Hills, Hyderabad, HYDERABAD, TELANGANA, 500033",,,TELANGANA,HYDERABAD
INDIA MEDIA AND ENTERTAINMENT TRUST,IN/AIF2/21-22/0932,"Sep 30, 2021 - Perpetual",compliance@imef.in,Nipa Savla,"The Capital Awing No 603 606 6th Floor , Plot No C70 G Block BKC, MUMBAI, MAHARASHTRA, 400051","The Capital Awing No 603 606 6th Floor , Plot No C70 G Block BKC, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
India Office Assets Fund I,IN/AIF2/18-19/0646,"Mar 11, 2019 - Perpetual",compliance.kial@kotak.com,Rajeev Saptarshi,"Co. Kotak Investment Advisors Limited 27 BKC, 7th Floor, Plot No. C 27, G Block,, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Co. Kotak Investment Advisors Limited 27 BKC, 7th Floor, Plot No. C 27, G Block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
India Opportunities Fund SSA,IN/AIF2/21-22/0922,"Aug 27, 2021 - Perpetual",snangia@BainCapital.com,Suruchi Nangia,"215 Free Press House 2nd Floor, Unit 23 24 and 26 28 Nariman Point, MUMBAI, MAHARASHTRA, 400021","215 Free Press House 2nd Floor, Unit 23 24 and 26 28 Nariman Point, MUMBAI, MAHARASHTRA, 400021",,,MAHARASHTRA,MUMBAI
India Real Estate Investment Fund,IN/AIF2/16-17/0271,"Oct 28, 2016 - Perpetual",,,,,,,,
India Real Estate Investment Fund,IN/AIF1/17-18/0354,"Oct 28, 2016 - Perpetual",,,,,,,,
India Real Estate Investment Fund Series 2,IN/AIF2/22-23/1144,"Sep 30, 2022 - Perpetual",ivenlegal@iciciventure.com,Pooja Basu,"ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","ICICI Venture House, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,MAHARASHTRA,MUMBAI
INDIA REAL ESTATE OPPORTUNITIES TRUST,IN/AIF2/23-24/1384,"Nov 17, 2023 - Perpetual",alternativescompliance@edelweissalts.com,Deepak Mukhija,"Edelweiss House, Off C.S.T. Road,, Mumbai, MUMBAI, MAHARASHTRA, 400098","Edelweiss House, Off C.S.T. Road, Mumbai, MUMBAI, MAHARASHTRA, 400098",,,MAHARASHTRA,MUMBAI
INDIA REALTY EXCELLENCE FUND II LLP,IN/AIF2/13-14/0085,"Nov 18, 2013 - Perpetual",,,"12th Floor, Motilal Oswal Tower, Rahimtullah Sayani Road, Opp. Parel S.T. Depot,, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,,MAHARASHTRA,MUMBAI
India Renewables Opportunities Fund,IN/AIF2/21-22/0920,"Aug 13, 2021 - Perpetual",contact.pentacap@brookfieldrenewable.in,Varun Gupta,"Godrej BKC, 4th Floor, Unit 1, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Godrej BKC, 4th Floor, Unit 1, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
India Resurgence Fund,IN/AIF2/17-18/0346,"Jun 28, 2017 - Perpetual",Anand.Kashikar@Indiarf.com,Anand Kashikar,"7th Floor, Piramal Tower, Peninsula Corporate Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai, MUMBAI, MAHARASHTRA",,22700000000000.0,22700000000000.0,MAHARASHTRA,MUMBAI
India Resurgence Fund 2,IN/AIF2/23-24/1376,"Nov 02, 2023 - Perpetual",anand.kashikar@Indiarf.com,Anand Kashikar,"304, Piramal Tower, Peninsula Corporate Park,, Piramal Tower, Lower Parel, MUMBAI, MAHARASHTRA, 400013","304, Piramal Tower, Peninsula Corporate Park, Piramal Tower, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
INDIA SME GROWTH FUND,IN/AIF1/18-19/0608,"Oct 19, 2018 - Perpetual",compliance@systematixgroup.in,RAKESH MEHTA,"The Capital A wing No 603 to 606 6th Floor Plot No C 70, G Block Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","The Capital A wing No 603 to 606 6th Floor Plot No C 70, G Block Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
India SME Investments AIF Trust II,IN/AIF2/23-24/1433,"Jan 23, 2024 - Perpetual",mitin@indiasmeinvestments.com,Mitin Jain,"Kingston Tower, 8th Floor, Flat No. 802, G.D. Ambekar Marg, Tank Road, Mumbai, MUMBAI, MAHARASHTRA, 400012","1302, B Wing, Naman Midtown Building, Senapati Bapat Marg, Mumbai, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
India SME Investments Trust,IN/AIF2/18-19/0664,"Mar 30, 2019 - Perpetual",adit@indiasmeinvestments.com,Adit Dawda,"Birla Centurion, 2nd Floor, PB Marg, Worli, MUMBAI, MAHARASHTRA, 400030","Birla Centurion, 2nd Floor, PB Marg, Worli, MUMBAI, MAHARASHTRA, 400030",,,MAHARASHTRA,MUMBAI
India Special Situations Trust,IN/AIF2/18-19/0561,"Jul 05, 2018 - Perpetual",nmodi@ssgadvisors.in,Nilesh Modi,"1009, 1010, 1011 and 1013, C Wing, ONE BKC, , Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","1009, 1010, 1011 and 1013, C Wing, ONE BKC, , Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
INDIA TECHNOLOGY FUND,IN/AIF2/15-16/0173,"Sep 29, 2015 - Perpetual",,,"A 268, First Floor, Bishm Pitamah Marg, Defence Colony, New Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI",,,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
India Value and Growth Trust,IN/AIF3/18-19/0652,"Mar 19, 2019 - Perpetual",adityasood81@gmail.com,Aditya Sood,"2102, Tower A, Ashok Towers, SS Rao Road, Parel East, MUMBAI, MAHARASHTRA, 400012","2102, Tower A, Ashok Towers, SS Rao Road, Parel East, MUMBAI, MAHARASHTRA, 400012",,,MAHARASHTRA,MUMBAI
India Whizdom Fund,IN/AIF3/16-17/0217,"Apr 06, 2016 - Perpetual",,,"27 BKC, 7TH FLOOR, PLOT NO C 27, G BLOCK, , BANDRA KURLA COMPLEX, BANDRA EAST, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
INDIABULLS AIF,IN/AIF2/14-15/0133,"Feb 18, 2015 - Perpetual",uday.d@indiabulls.com,Uday Diwale,,,,,,
INDIABULLS INDIA ALTERNATIVES TRUST,IN/AIF2/16-17/0252,"Aug 18, 2016 - Perpetual",swapnil.chikne@indiabulls.com,Swapnil Chikne,"M 62&63, First Floor , Connaught Place, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
INDIAN PROPERTY TRUST,IN/AIF2/12-13/0034,"Mar 04, 2013 - Perpetual",,,,,,,,
Indian Tech for the World Fund,IN/AIF2/20-21/0807,"Jun 02, 2020 - Perpetual",pontaq.nda@nishithdesai.com,Mahesh Ramachandran,"Software Technology Parks of India, Technest Incubation Facility, Cabin No.23, 2nd Floor, CHENNAI, TAMIL NADU, 600113","Software Technology Parks of India, Technest Incubation Facility, Cabin No.23, 2nd Floor, CHENNAI, TAMIL NADU, 600113",,,TAMIL NADU,CHENNAI
IndiaNivesh Renaissance Trust,IN/AIF2/17-18/0374,"Sep 29, 2017 - Perpetual",,,"1701, Lodha Supremus,, Senapati Bapat Marg, Lower Parel,, MUMBAI, MAHARASHTRA, 400069",,,,MAHARASHTRA,MUMBAI
INDIANIVESH VENTURE CAPITAL FUND,IN/AIF1/25-26/1856,"Jul 23, 2025 - Perpetual",kkrathi@firstbridgefund.com,Krishan Rathi,"ILFS Financial Centre Plot C22 G Block Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","1106 One Lodha Place Near Kamala Mills SB Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
INDIAQUOTIENT INVESTMENT TRUST,IN/AIF1/12-13/0003,"Aug 13, 2012 - Perpetual",,,"3rd floor, No. 788, J.K. Plaza, 12th Main Road, Indiranagar, BANGALORE, KARNATAKA, 560038",,,,KARNATAKA,BANGALORE
INDIAREIT ALTERNATIVE INVESTMENT TRUST,IN/AIF2/13-14/0080,"Oct 21, 2013 - Perpetual",,,"GROUND FLOOR, A WING, PIRAMAL TOWER, PENINSULA CORPORATE PARK, G.K.MARG, LOWER PAREL, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
INDIAVENTURE ADVISORS TRUST,IN/AIF2/12-13/0036,"Mar 08, 2013 - Perpetual",,,"PIRAMAL TOWERS, G.K. MARG, LOWER PAREL, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
IndoEdge India Fund,IN/AIF2/22-23/1094,"Jun 23, 2022 - Perpetual",,,"C5 First Floor Defence Colony , New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110024","One World Center 16th floor Tower 2A Senapati Bapat Marg, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
INDOSTAR RECURRING RETURN CREDIT FUND,IN/AIF2/13-14/0060,"Jun 25, 2013 - Perpetual",,,,,,,,
INDOSTAR CREDIT FUND,IN/AIF2/15-16/0147,"Apr 29, 2015 - Perpetual",,,,,,,,
INDUCKT VISION ONE TRUST,IN/AIF1/23-24/1320,"Aug 03, 2023 - Perpetual",ayush@inducktvc.com,Ayush Goyal,"Unit no. 703 and 704, 7th Floor, Pearl Best Heights 1, Plot No A5, Netaji Subhash Place, Pitampura, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110034","X/1387, ST 4 RAJGARH COLONY GANDHI NAGAR, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110031",,,NATIONAL CAPITAL TERRITORY OF DELHI,
Indus India Trust,IN/AIF2/19-20/0737,"Oct 25, 2019 - Perpetual",rajiv@indusequitypartners.com,Rajiv Bhatia,"604B Arcadia 6th Floor South City II Sector 49 Gurgaon, GURGAON, HARYANA, 122018","604B Arcadia 6th Floor South City II Sector 49 Gurgaon, GURGAON, HARYANA, 122018",,,HARYANA,
INDUS OPPORTUNITIES TRUST,IN/AIF3/25-26/2096,"Mar 13, 2026 - Perpetual",spapartnersllp@gmail.com,AMISHI SHAH,"504A, Shikhar Complex, Nr. Vadilal House, Mithakhali, Navrangpura, AHMEDABAD, GUJARAT, 380009",,,,GUJARAT,
Indus Tech Edge Fund Trust,IN/AIF2/24-25/1716,"Feb 07, 2025 - Perpetual",anurag@industechedge.com,Anurag Kumar,"Avanta Solutions Business Centre Pvt Ltd, D2, First Floor, Office No. 11, Southern Park, District Centre, Saket, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017","Avanta Solutions Business Centre Pvt Ltd, D2, First Floor, Office No. 11, Southern Park, District Centre, Saket, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110017",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
INDUS WAY EMERGING MARKET FUND SERIES ALPHA RETURNS,IN/AIF2/20-21/0795,"May 09, 2020 - Perpetual",vikas.talwar@tiwpe.com,Mohit Ralhan,"C2/169, FF Janakpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110058","C2/169, FF Janakpuri, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110058",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
INDUS WAY EMERGING MARKET FUND SERIES II,IN/AIF1/14-15/0124,"Nov 11, 2014 - Perpetual",,,"Flat No. 212, Mahatta Tower, B Block Community Centre, Janakpuri, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110058",,,,NATIONAL CAPITAL TERRITORY OF DELHI,
